datetime,open,high,low,close,chain_detected_5s,chain_detected_10s,chain_detected_30s,chain_detected_1m,chain_detected_2m,chain_detected_5m,chain_detected_10m
2025-04-03 16:31:05,205.78,205.81,205.71,205.755,0.0,,,,,,
2025-04-03 16:31:10,205.765,205.775,205.72,205.7501,0.0,0.0,,,,,
2025-04-03 16:31:15,205.75,205.8198,205.75,205.8198,0.0,,,,,,
2025-04-03 16:31:20,205.8,205.805,205.77,205.78,0.0,0.0,,,,,
2025-04-03 16:31:25,205.76,205.76,205.7,205.7,0.0,,,,,,
2025-04-03 16:31:30,205.7,205.7699,205.6702,205.755,0.0,0.0,-1.0,,,,
2025-04-03 16:31:35,205.76,205.8,205.75,205.75,0.0,,,,,,
2025-04-03 16:31:40,205.7422,205.75,205.74,205.74,0.0,0.0,,,,,
2025-04-03 16:31:45,205.74,205.77,205.73,205.76,0.0,,,,,,
2025-04-03 16:31:50,205.7583,205.8,205.74,205.8,0.0,0.0,,,,,
2025-04-03 16:31:55,205.8,205.84,205.77,205.8,0.0,,,,,,
2025-04-03 16:32:00,205.79,205.89,205.79,205.89,0.0,0.0,0.0,-1.0,-1.0,,
2025-04-03 16:32:05,205.8889,205.93,205.8889,205.9186,0.0,,,,,,
2025-04-03 16:32:10,205.91,205.91,205.8648,205.885,0.0,0.0,,,,,
2025-04-03 16:32:15,205.89,205.92,205.875,205.88,0.0,,,,,,
2025-04-03 16:32:20,205.85,205.89,205.84,205.89,0.0,0.0,,,,,
2025-04-03 16:32:25,205.885,205.9,205.86,205.9,0.0,,,,,,
2025-04-03 16:32:30,205.9,205.92,205.89,205.89,0.0,0.0,0.0,,,,
2025-04-03 16:32:35,205.88,205.88,205.75,205.77,0.0,,,,,,
2025-04-03 16:32:40,205.77,205.79,205.73,205.79,0.0,0.0,,,,,
2025-04-03 16:32:45,205.8,205.81,205.79,205.8,0.0,,,,,,
2025-04-03 16:32:50,205.8,205.87,205.795,205.84,0.0,0.0,,,,,
2025-04-03 16:32:55,205.85,205.87,205.82,205.84,0.0,,,,,,
2025-04-03 16:33:00,205.82,205.84,205.76,205.81,0.0,0.0,0.0,-1.0,,,
2025-04-03 16:33:05,205.815,205.83,205.7244,205.73,0.0,,,,,,
2025-04-03 16:33:10,205.74,205.76,205.6496,205.69,0.0,0.0,,,,,
2025-04-03 16:33:15,205.67,205.69,205.63,205.635,0.0,,,,,,
2025-04-03 16:33:20,205.635,205.675,205.635,205.66,0.0,0.0,,,,,
2025-04-03 16:33:25,205.66,205.662,205.57,205.58,0.0,,,,,,
2025-04-03 16:33:30,205.58,205.5851,205.5125,205.5125,0.0,0.0,-1.0,,,,
2025-04-03 16:33:35,205.51,205.54,205.485,205.515,0.0,,,,,,
2025-04-03 16:33:40,205.51,205.5699,205.495,205.53,0.0,0.0,,,,,
2025-04-03 16:33:45,205.52,205.54,205.51,205.54,0.0,,,,,,
2025-04-03 16:33:50,205.56,205.58,205.51,205.55,0.0,0.0,,,,,
2025-04-03 16:33:55,205.545,205.59,205.54,205.5698,0.0,,,,,,
2025-04-03 16:34:00,205.575,205.65,205.52,205.6,0.0,0.0,-1.0,-1.0,-1.0,,
2025-04-03 16:34:05,205.61,205.61,205.54,205.555,0.0,,,,,,
2025-04-03 16:34:10,205.56,205.59,205.51,205.51,0.0,0.0,,,,,
2025-04-03 16:34:15,205.52,205.6,205.51,205.5657,0.0,,,,,,
2025-04-03 16:34:20,205.575,205.58,205.52,205.545,0.0,0.0,,,,,
2025-04-03 16:34:25,205.53,205.53,205.44,205.48,0.0,,,,,,
2025-04-03 16:34:30,205.48,205.48,205.4521,205.46,0.0,0.0,-1.0,,,,
2025-04-03 16:34:35,205.45,205.49,205.45,205.49,0.0,,,,,,
2025-04-03 16:34:40,205.48,205.51,205.47,205.51,0.0,0.0,,,,,
2025-04-03 16:34:45,205.52,205.56,205.51,205.55,0.0,,,,,,
2025-04-03 16:34:50,205.5419,205.59,205.5419,205.59,0.0,0.0,,,,,
2025-04-03 16:34:55,205.59,205.6,205.57,205.57,0.0,,,,,,
2025-04-03 16:35:00,205.58,205.67,205.5,205.67,0.0,0.0,-1.0,-1.0,,-1.0,
2025-04-03 16:35:05,205.67,205.7,205.62,205.635,0.0,,,,,,
2025-04-03 16:35:10,205.65,205.67,205.64,205.65,0.0,0.0,,,,,
2025-04-03 16:35:15,205.6354,205.68,205.63,205.6796,0.0,,,,,,
2025-04-03 16:35:20,205.69,205.7,205.61,205.61,0.0,0.0,,,,,
2025-04-03 16:35:25,205.6138,205.67,205.6138,205.645,0.0,,,,,,
2025-04-03 16:35:30,205.637,205.69,205.62,205.62,0.0,0.0,-1.0,,,,
2025-04-03 16:35:35,205.63,205.645,205.63,205.645,0.0,,,,,,
2025-04-03 16:35:40,205.66,205.6605,205.64,205.64,0.0,0.0,,,,,
2025-04-03 16:35:45,205.65,205.65,205.5601,205.5701,0.0,,,,,,
2025-04-03 16:35:50,205.61,205.61,205.57,205.59,0.0,0.0,,,,,
2025-04-03 16:35:55,205.59,205.59,205.55,205.55,0.0,,,,,,
2025-04-03 16:36:00,205.57,205.615,205.57,205.58,0.0,0.0,-1.0,-1.0,-1.0,,
2025-04-03 16:36:05,205.58,205.58,205.52,205.53,0.0,,,,,,
2025-04-03 16:36:10,205.535,205.58,205.52,205.54,0.0,0.0,,,,,
2025-04-03 16:36:15,205.545,205.58,205.545,205.5494,0.0,,,,,,
2025-04-03 16:36:20,205.54,205.59,205.52,205.59,0.0,0.0,,,,,
2025-04-03 16:36:25,205.599,205.599,205.56,205.5886,0.0,,,,,,
2025-04-03 16:36:30,205.58,205.59,205.52,205.52,0.0,0.0,-1.0,,,,
2025-04-03 16:36:35,205.53,205.67,205.52,205.64,0.0,,,,,,
2025-04-03 16:36:40,205.6,205.64,205.6,205.64,0.0,0.0,,,,,
2025-04-03 16:36:45,205.65,205.6699,205.6094,205.63,0.0,,,,,,
2025-04-03 16:36:50,205.625,205.63,205.6,205.63,0.0,0.0,,,,,
2025-04-03 16:36:55,205.63,205.63,205.5172,205.5172,0.0,,,,,,
2025-04-03 16:37:00,205.51,205.57,205.51,205.57,0.0,0.0,-1.0,-1.0,,,
